ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.14,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.14,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.14,China,,,,,,,,,,,,,,,,,,,,
IAGG,BUNDESREPUBLIK DEUTSCHLAND RegS,Treasury,Fixed Income,0.14,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.14,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #360,Treasury,Fixed Income,0.13,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #347,Treasury,Fixed Income,0.13,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK CORP,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.13,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.13,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.13,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.13,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.13,France,,,,,,,,,,,,,,,,,,,,
