,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
50000,50150.4,50034.15,49944.6,50905.85,50459.85,50234.2,50244.65
50000,50165.9,50027.95,49765.45,50958.45,50409.6,50167.7,50417.4
50000,50166.7,50095.95,49779.25,50779.7,50523.05,50292.95,50510.05
50000,50172.25,50125.55,49783.2,50800.15,50559.7,50496,50645.7
50000,50133.65,50158.95,49778.1,50871.7,50521.2,50654,50653.5
50000,50147,50182.9,49770.2,50959.6,50505.55,50592.45,50666
50000,50145.5,50185.15,49728.7,51167.65,50506.4,50731.85,50572
50000,50112.4,50191.1,49608,51268.55,50430.65,50688.15,50515.95
50000,50140.9,50225.05,49588.7,51314.85,50523.85,50784.6,50636.05
50000,50069.35,50278.95,49664.9,51379.55,50614.45,50866.35,50654.25
50000,50086,50313.1,49651.75,51314.35,50531.4,50829.7,50713.05
50000,50065.2,50326.4,49598.75,51444.95,50557.95,50831.7,50697.85
50000,50020.35,50324.35,49571.35,51464.75,50564.3,50989.95,50762.2
50000,50002.8,50327.9,49574.1,51450.7,50597.75,51086.9,50800.55
50000,50048.3,50307.55,49552.7,51572.95,50550.75,50941.05,50698.8
50000,50110.4,50303.8,49671.25,51569,50501.5,51001.7,50669.9
50000,50069.95,50283.85,49702.75,51538.4,50475.25,50966.8,50753.05
50000,50096.7,50271.4,49742.3,51487.05,50593.05,50989.9,50787.55
50000,50048.55,50229.7,49759.6,51548.7,50507.65,51153.1,50747
50000,50017.7,50277.6,49738.1,51436.6,50682.55,51182.45,50665.75
50000,50013.6,50331.85,49758.8,51543.4,50546.8,51210.45,50649.15
50000,50011.55,50356.15,49743,51534.25,50625,51390,50577.05
